reward_version,source,sha256,result_file_count,status
v1,,,3,results_only
v2,rewards/source/reward_v2.py,150f443a402d11d1b04612cdc985e6faa764af42ecf9024f0ba9c67514465de5,1,complete
v3,rewards/source/reward_v3.py,41ee65e1bb34e13274ea968929dd8117d558511bb64579dc92e8736f5d9ebfc1,6,complete
v4,rewards/source/reward_v4.py,f05dd12fa5e3a476d4511ff9baacea9cf9f7a4735b29783da71ab81dbd8ea818,1,complete
v5,rewards/source/reward_v5.py,a4299fdce74d4820201c2ec7382d7e8a365a8f231fd54cc496b8b92b19ac125a,6,complete
v6,rewards/source/reward_v6.py,6f8b1069fc59ca9bde0955aca9fb9a458c14cf46ef0816028f5f90026367d8b2,9,complete
v7,rewards/source/reward_v7.py,59e240dbd55ffee3cfb09b64a88b09d31859446a46a868945cfca8189057317a,1,complete
v8,rewards/source/reward_v8.py,f6c49bbe36a06a7d2aaaa074b937a6f2e0366b77e6ff256f4112cc33f4d35dae,10,complete
v9,rewards/source/reward_v9.py,4c1db9d4c4b327b12491918e3e42367f9cea0ff867f6e7d25a1a370dd48e09d0,10,complete
v10,rewards/source/reward_v10.py,6ecb7bf03833303042e20c5d53e404a362bf91825828692fc4edf5619fb6de4d,21,complete
