step,samples,score_mean,score_std,score_min,score_max,negative_reward_rate,positive_reward_rate,execution_correct_rate,sql_executable_rate,answer_found_rate,format_compliance_rate,tool_error_rate,stopped_after_tool_error_rate,execute_sql_succeeded_rate,ordered_tool_chain_rate,tool_protocol_valid_rate,has_exact_duplicate_rate,has_duplicate_schema_rate,has_duplicate_execute_rate,tool_call_efficiency_mean,tool_call_count_mean,execute_sql_call_count_mean,terminal_reward_mean,process_reward_mean,efficiency_reward_mean,total_penalty_mean,response_chars_mean,informative_group_rate,uniform_group_rate,all_zero_group_rate,group_count
1,32,0.02015625,0.057316069613481874,-0.065,0.19,0.28125,0.53125,0.0,0.09375,0.15625,0.15625,0.78125,0.1875,0.1875,0.1875,0.3125,0.75,0.21875,0.6875,0.7273065476190477,6.75,3.8125,0.0078125,0.05046875,0.001875,0.04,2774.1875,1.0,0.0,0.0,8
2,32,0.24625,0.38445578419370935,-0.065,1.0,0.125,0.8125,0.21875,0.3125,0.3125,0.3125,0.53125,0.03125,0.46875,0.46875,0.40625,0.46875,0.21875,0.40625,0.8433779761904762,6.0625,2.53125,0.1859375,0.06453125,0.0159375,0.02015625,2768.21875,1.0,0.0,0.0,8
3,32,0.06328125,0.16148533880336474,-0.04,0.89,0.28125,0.625,0.03125,0.125,0.28125,0.25,0.6875,0.09375,0.34375,0.34375,0.34375,0.78125,0.3125,0.59375,0.7330729166666666,6.5,3.21875,0.0346875,0.0596875,0.00375,0.03484375,2860.0625,1.0,0.0,0.0,8
4,32,0.185,0.3360710490357656,-0.04,1.0,0.125,0.84375,0.15625,0.25,0.28125,0.28125,0.625,0.09375,0.46875,0.46875,0.40625,0.6875,0.375,0.46875,0.7904761904761904,6.34375,2.875,0.1353125,0.0665625,0.010312499999999999,0.0265625,2796.25,1.0,0.0,0.0,8
5,32,0.15109375,0.3141897674351243,-0.04,1.0,0.1875,0.6875,0.125,0.1875,0.21875,0.21875,0.65625,0.0625,0.375,0.375,0.25,0.625,0.25,0.40625,0.8213169642857143,6.15625,2.9375,0.10750000000000001,0.05890625,0.01125,0.0265625,2581.34375,1.0,0.0,0.0,8
6,32,0.14984375,0.315353185866161,-0.04,1.0,0.09375,0.78125,0.125,0.1875,0.375,0.375,0.84375,0.28125,0.25,0.25,0.46875,0.53125,0.21875,0.375,0.8395089285714286,6.1875,2.59375,0.11062500000000001,0.05671875,0.0121875,0.0278125,2854.3125,1.0,0.0,0.0,8
7,32,0.2265625,0.3309017922190057,-0.015,1.0,0.03125,0.90625,0.15625,0.46875,0.59375,0.5625,0.46875,0.0625,0.5,0.5,0.59375,0.40625,0.15625,0.28125,0.8972470238095238,5.03125,2.125,0.151875,0.06796875,0.0215625,0.01484375,2421.78125,1.0,0.0,0.0,8
8,32,0.18046875,0.3078335573381133,-0.020000000000000004,1.0,0.0625,0.90625,0.125,0.3125,0.6875,0.6875,0.71875,0.40625,0.375,0.375,0.71875,0.59375,0.125,0.40625,0.8648065476190476,5.5625,2.375,0.12312500000000001,0.06125,0.0178125,0.02109375,2530.34375,1.0,0.0,0.0,8
9,32,0.1503125,0.27654660971299216,-0.04,1.0,0.125,0.84375,0.09375,0.34375,0.625,0.625,0.65625,0.375,0.34375,0.34375,0.78125,0.5,0.1875,0.375,0.8612723214285715,5.34375,2.46875,0.1,0.0590625,0.016875,0.024375,2541.0625,1.0,0.0,0.0,8
10,32,0.2121875,0.342105012888952,0.0,1.0,0.0,0.90625,0.15625,0.25,0.84375,0.84375,0.71875,0.59375,0.25,0.25,0.84375,0.25,0.125,0.1875,0.9252232142857143,4.59375,1.625,0.1465625,0.053125,0.031875,0.019375,2239.84375,1.0,0.0,0.0,8
