step,samples,score,execution_correct,sql_executable,final_matches_successful_execute,final_was_failed,final_unverified,tool_error
0,200,0.43257093253968226,0.375,0.68,0.66,0.3,0.34,0.31
5,200,0.4071746392496393,0.35,0.665,0.63,0.305,0.37,0.32
8,200,0.39563436147186143,0.34,0.66,0.61,0.3,0.39,0.32
16,200,0.374748051948052,0.32,0.64,0.58,0.285,0.415,0.3
24,200,0.4096845238095237,0.36,0.655,0.59,0.27,0.405,0.275
32,200,0.4367511904761902,0.37,0.705,0.685,0.265,0.315,0.28
40,200,0.4500361111111111,0.37,0.76,0.73,0.205,0.27,0.245
48,200,0.4712789682539682,0.38,0.8,0.785,0.175,0.215,0.205
56,200,0.48328015873015856,0.385,0.84,0.805,0.145,0.195,0.17
64,200,0.46767976190476207,0.36,0.845,0.825,0.125,0.175,0.165
