arm,step,n,score_mean,score_std,execution_correct_rate,sql_executable_rate,answer_found_rate,format_rate,tool_called_rate,protocol_valid_rate,tool_error_rate,process_reward_mean,process_penalty_mean,tool_call_count_mean,group_count,correctness_informative_rate,reward_informative_rate,process_only_informative_rate,all_wrong_group_rate,all_correct_group_rate,group_reward_std_mean
v9_std,1,32,-0.1034375,0.3494961496121953,0.09375,0.125,0.125,0.125,0.78125,0.78125,0.03125,0.044375,0.0009375,1.34375,4,0.5,1.0,0.5,0.5,0.0,0.23134687868253695
v9_std,2,32,-0.179375,0.21029647970187232,0.03125,0.0625,0.0625,0.0625,0.6875,0.6875,0,0.03625,0.0,1.28125,4,0.25,1.0,0.75,0.75,0.0,0.10739653505735675
v9_std,3,32,-0.145,0.29124731758421396,0.0625,0.0625,0.0625,0.0625,0.75,0.75,0.09375,0.0390625,0.0028125,1.375,4,0.5,1.0,0.5,0.5,0.0,0.20321982526049834
v9_std,4,32,-0.105625,0.34973148181855174,0.09375,0.09375,0.09375,0.09375,0.8125,0.8125,0,0.04125,0.0,1.40625,4,0.5,1.0,0.5,0.5,0.0,0.2328971941848942
v9_std,5,32,-0.105625,0.35114934055897074,0.09375,0.1875,0.1875,0.1875,0.625,0.625,0,0.04125,0.0,1.15625,4,0.5,1.0,0.5,0.5,0.0,0.2303805209786271
v9_std,6,32,-0.10250000000000001,0.34922235037293936,0.09375,0.125,0.125,0.125,0.78125,0.78125,0.03125,0.0453125,0.0009375,1.375,4,0.5,1.0,0.5,0.5,0.0,0.2316450045629725
v9_std,7,32,-0.0728125,0.3984441175921035,0.125,0.125,0.125,0.125,0.71875,0.71875,0,0.0396875,0.0,1.28125,4,0.5,1.0,0.5,0.5,0.0,0.264023152190268
v9_std,8,32,-0.2096875,0.029099438890638422,0,0.03125,0.03125,0.03125,0.78125,0.78125,0.03125,0.0403125,0.0,1.4375,4,0.0,1.0,1.0,1.0,0.0,0.016340031494114567
v9_std,9,32,-0.14125000000000001,0.290449543810969,0.0625,0.0625,0.0625,0.0625,0.75,0.75,0,0.04,0.0,1.3125,4,0.5,1.0,0.5,0.5,0.0,0.20174131254704802
v9_std,10,32,-0.106875,0.3502895008061189,0.09375,0.09375,0.09375,0.09375,0.75,0.75,0.09375,0.041875,0.001875,1.4375,4,0.5,1.0,0.5,0.5,0.0,0.23310804178488337
v9_std,11,32,-0.059687500000000004,0.3934898694296335,0.125,0.125,0.125,0.125,0.875,0.875,0.03125,0.05375,0.0009375,1.84375,4,0.5,1.0,0.5,0.5,0.0,0.2496937807493646
v9_std,12,32,-0.0253125,0.43344538565285246,0.15625,0.1875,0.1875,0.1875,0.84375,0.84375,0.09375,0.05375,0.0009375,1.78125,4,0.5,1.0,0.5,0.5,0.0,0.27384615792566736
v9_std,13,32,-0.098125,0.34735102472139046,0.09375,0.09375,0.09375,0.09375,0.875,0.875,0,0.04875,0.0,1.5625,4,0.5,1.0,0.5,0.5,0.0,0.23113518493157056
v9_std,14,32,0.011562499999999996,0.4656790027408902,0.1875,0.1875,0.1875,0.1875,0.84375,0.84375,0.09375,0.058124999999999996,0.0028125,2.125,4,0.5,1.0,0.5,0.5,0.0,0.28669022195022825
v9_std,15,32,-0.1734375,0.20947269176136063,0.03125,0.09375,0.09375,0.09375,0.8125,0.8125,0.0625,0.0440625,0.001875,1.40625,4,0.25,1.0,0.75,0.75,0.0,0.11143061724918862
v9_std,16,32,0.0434375,0.4959499053268888,0.21875,0.21875,0.21875,0.21875,0.8125,0.8125,0,0.0528125,0.0,1.46875,4,0.5,1.0,0.5,0.5,0.0,0.29681915341763127
v9_nostd,1,32,-0.18,0.20952326839756963,0.03125,0.03125,0.03125,0.03125,0.78125,0.78125,0.0625,0.0365625,0.0009375,1.28125,4,0.25,1.0,0.75,0.75,0.0,0.10841784852035354
v9_nostd,2,32,-0.2303125,0.02068882171004429,0,0,0,0,0.53125,0.53125,0,0.0196875,0.0,0.6875,4,0.0,0.75,0.75,1.0,0.0,0.008975582382506344
v9_nostd,3,32,-0.17625,0.20987719623627527,0.03125,0.09375,0.09375,0.09375,0.8125,0.8125,0.09375,0.0421875,0.0028125,1.5625,4,0.25,1.0,0.75,0.75,0.0,0.11259409726666805
v9_nostd,4,32,-0.146875,0.2920128154293917,0.0625,0.0625,0.0625,0.0625,0.625,0.625,0,0.034375,0.0,1.09375,4,0.5,1.0,0.5,0.5,0.0,0.2014861758969382
v9_nostd,5,32,0.0790625,0.5205067205077664,0.25,0.25,0.25,0.25,0.78125,0.78125,0.03125,0.055,0.0009375,1.625,4,0.5,1.0,0.5,0.5,0.0,0.2920746845153788
